Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_Wildtype_1_30_S1.sorted_PDUI	Synthego_Wildtype_1_32_S3.sorted_PDUI	Synthego_Wildtype_2_2_S5.sorted_PDUI	Synthego_Wildtype_24hour_A_S58.sorted_PDUI	Synthego_Wildtype_24hour_B_S53.sorted_PDUI	Synthego_Wildtype_24hour_C_S48.sorted_PDUI	Synthego_Wildtype_4hour_A1_S45.sorted_PDUI	Synthego_Wildtype_4hour_A2_S46.sorted_PDUI	Synthego_Wildtype_4hour_B_S51.sorted_PDUI	Synthego_Wildtype_4hour_C_S52.sorted_PDUI	Synthego_Wildtype_Control_A_S44.sorted_PDUI	Synthego_Wildtype_Control_B_S60.sorted_PDUI	Synthego_Wildtype_Control_C_S47.sorted_PDUI	Synthego_Wildtype_Cytoplasm1_S68.sorted_PDUI	Synthego_Wildtype_Cytoplasm2_S69.sorted_PDUI	Synthego_Wildtype_Cytoplasm3_S70.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24.sorted_PDUI	Synthego_Wildtype_Nuclear1_S62.sorted_PDUI	Synthego_Wildtype_Nuclear2_S63.sorted_PDUI	Synthego_Wildtype_Nuclear3_S64.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12.sorted_PDUI	mean	sd
XM_024449698.1|DAP3|chr1|+	103066	155738308	chr1:155738157-155738529	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0.411764705882353	0.499554168435642
NM_001199851.1|DAP3|chr1|+	64112.4	155738527	chr1:155738157-155739010	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0.00205882352941176	0.00410425630121905
NM_001282625.2|LMNA|chr1|+	645590.1	156137815	chr1:156137654-156137866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001349778.2|DCAF6|chr1|+	9525.3	168075522	chr1:168075371-168075836	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0.852941176470588	0.359490627953571
XM_011509661.2|ODR4|chr1|+	31.9	186419232	chr1:186419009-186421375	0.03	0.03	0	0.09	0.07	0.05	0	0.03	0.03	0	0.03	0.08	0.05	0.21	0	0	0.13	0.11	0	0.1	0	0.09	0.12	0	0.08	0	0	0	0	0	0.13	0.09	0	0.13	0.0494117647058824	0.0549898710491629
XM_005273254.5|C4BPB|chr1|+	557131.9	207099943	chr1:207099789-207099993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_000574.5|CD55|chr1|+	258.4	207359712	chr1:207359546-207360966	0.17	0.2	0.14	0.22	0.13	0.18	0.06	0.26	0.19	0.43	0.15	0.09	0.21	0.17	0	0	0.2	0.25	0.11	0.13	0.25	0.19	0.18	0.26	0.21	0	0	0.04	0.1	0.03	0.06	0.19	0.24	0.2	0.154117647058824	0.0950954113241115
NM_001312871.1|COX20|chr1|+	1341.5	244843283	chr1:244843041-244845063	0.05	0.05	0.05	0.05	0.04	0.07	0.07	0.09	0.05	0.04	0.05	0.07	0.04	0.06	0.05	0.05	0.05	0.05	0.03	0.06	0.05	0.04	0.05	0.05	0.05	0.05	0.03	0.04	0.04	0.05	0.05	0.06	0.07	0.06	0.0517647058823529	0.012178119533221
NM_198076.6|COX20|chr1|+	1345.3	244843283	chr1:244843041-244845057	0.05	0.05	0.05	0.05	0.04	0.07	0.07	0.09	0.05	0.04	0.05	0.07	0.04	0.06	0.05	0.05	0.05	0.05	0.03	0.06	0.05	0.04	0.05	0.05	0.05	0.05	0.03	0.04	0.04	0.05	0.05	0.06	0.07	0.06	0.0517647058823529	0.012178119533221
NM_017971.4|MRPL20|chr1|-	19219.7	1402105	chr1:1402046-1402256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0.941176470588235	0.238832573610613
NM_033489.3|CDK11B|chr1|-	1698.1	1635705	chr1:1635638-1635856	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0.5	0.507519218922552
XM_024451184.1|CDK11B|chr1|-	1698.1	1635705	chr1:1635638-1635856	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0.5	0.507519218922552
XR_002958171.1|CDK11B|chr1|-	1698.1	1635705	chr1:1635638-1635856	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0.5	0.507519218922552
XM_017001059.2|GNB1|chr1|-	7973.7	1786751	chr1:1785289-1787053	0.03	0.02	0.01	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.02	0.04	0.03	0.2	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.23	0.16	0.05	0.06	0.05	0.05	0.05	0.05	0.0652941176470588	0.0622426967417279
NM_182533.4|FAAP20|chr1|-	1594.3	2189617	chr1:2189548-2189781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0.941176470588235	0.238832573610613
NM_007033.5|RER1|chr1|+	28205.9	2403220	chr1:2403035-2403974	0.77	0.75	0.59	0.79	0.94	0.94	0.82	0.92	0.5	1	1	1	0.86	0.56	0.7	0.5	1	0.84	0.71	0.83	0.67	0.47	0.55	1	0.66	0.25	0.71	0.16	0.55	0.51	0.49	0.51	0.56	0.59	0.697058823529412	0.217402425507987
NM_020710.3|LRRC47|chr1|-	77266	3780219	chr1:3778559-3781336	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117647058823529	0.00327034970083864
NM_000983.4|RPL22|chr1|-	358805.4	6186618	chr1:6185020-6186816	0.05	0.04	0.05	0.07	0.07	0.07	0.07	0.07	0.06	0.06	0.06	0.06	0.07	0.06	0.06	0.06	0.07	0.05	0.05	0.05	0.06	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.06	0.05	0.05	0.05	0.04	0.05	0.0567647058823529	0.00878034590168848
NM_004781.4|VAMP3|chr1|+	15.6	7779780	chr1:7779626-7781432	0.13	0.11	0.22	0	0.09	0.07	0	0	0	0	0	0	0.15	0.21	0.13	0.13	0.15	0.18	0.12	0.26	0	0	0.07	0	0	0	0	0.13	0.11	0.13	0.15	0.09	0	0.15	0.0817647058823529	0.0786811974857377
NM_001123377.2|PARK7|chr1|+	194081.7	7985281	chr1:7984894-7985505	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.0126470588235294	0.00447811075519899
XM_005263424.3|PARK7|chr1|+	138667.8	7985045	chr1:7984894-7985282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001201483.4|ENO1|chr1|-	9415451.7	8861278	chr1:8861000-8861429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_032368.5|LZIC|chr1|-	208	9930244	chr1:9926293-9930457	0.07	0.06	0.06	0	0.06	0.04	0.08	0	0.05	0.05	0.05	0.06	0.05	0.22	0.11	0.12	0.05	0.06	0.06	0.06	0.05	0.06	0.05	0.06	0.06	0	0	0.25	0.04	0.06	0.06	0.04	0.03	0.04	0.0620588235294118	0.0509770840829904
XM_017002547.1|LZIC|chr1|-	178	9930177	chr1:9926307-9930328	0.06	0.05	0.05	0.04	0.05	0.04	0.07	0.06	0.05	0.04	0.05	0.05	0.04	0.22	0.1	0.11	0.05	0.06	0.06	0.06	0.05	0.06	0.04	0.05	0.06	0.14	0	0.31	0.04	0.04	0.05	0.04	0.03	0.03	0.0661764705882353	0.056943071299184
XM_005263509.3|LZIC|chr1|-	520.1	9930244	chr1:9929281-9930457	0.11	0.11	0.04	0	0.08	0.05	0.17	0	0.07	0.08	0.09	0.08	0.06	0.18	0.1	0.11	0.05	0.08	0.08	0.09	0.09	0.07	0.06	0.1	0.12	0	0	0.1	0.05	0.13	0.1	0.05	0.03	0.07	0.0764705882352941	0.042915163170452
XM_017000866.2|TARDBP|chr1|+	31.5	11024215	chr1:11024064-11025492	0.25	0.14	0.07	0.21	0.15	0.1	0.04	0.25	0.21	0.2	0.06	0	0.15	0.27	0.24	0.12	0.17	0.15	0.19	0.2	0.2	0.2	0	0.09	0.1	0.25	0.17	0	0.13	0.21	0.18	0.14	0.37	0.22	0.159705882352941	0.0836473584186015
NM_003132.3|SRM|chr1|-	85366.1	11054734	chr1:11054589-11054885	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.970588235294118	0.171498585142509
NM_012168.6|FBXO2|chr1|-	85423.9	11648677	chr1:11648387-11648828	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0.411764705882353	0.499554168435642
NM_024329.6|EFHD2|chr1|+	232.5	15428849	chr1:15428593-15430339	0.05	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0.03	0.04	0.07	0.04	0	0.02	0	0	0	0	0	0.04	0.01	0.01	0	0.05	0	0.02	0	0.03	0.0144117647058824	0.0203292857080003
NM_024758.5|AGMAT|chr1|-	3339.1	15573310	chr1:15571733-15573724	0.14	0.09	0.11	0.12	0.09	0.06	0.21	0.15	0.13	0.14	0.11	0.13	0.11	0.25	0.25	0.28	0.2	0.13	0.13	0.13	0.18	0.16	0.16	0.17	0.14	0.35	0.28	0.4	0.21	0.19	0.17	0.2	0.19	0.19	0.175	0.0732885538212627
XR_005647029.1|MST1L|chr1|-	865497.9	16757242	chr1:16757120-16757393	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001204082.2|MICOS10|chr1|+	943.1	19626629	chr1:19626387-19629820	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.00117647058823529	0.00327034970083864
NM_018584.6|CAMK2N1|chr1|-	13501.5	20483363	chr1:20482391-20483719	0	0.09	0.12	0.09	0	0.08	0	0	0	0.05	0	0.07	0.09	0.08	0.06	0.09	0.1	0.11	0.09	0.09	0	0.11	0.08	0.09	0.09	0.1	0.08	0.06	0.06	0.08	0.07	0.09	0.08	0.06	0.0664705882352941	0.0374879659835378
NM_001791.4|CDC42|chr1|+	7800.4	22092947	chr1:22091428-22101360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_003196.3|TCEA3|chr1|-	3069.1	23381323	chr1:23380909-23381474	0.33	0.33	0.53	0.35	0.24	0.25	0.3	0.26	0.3	0.38	0.37	0.38	0.43	0.66	0.72	0.77	0.33	0.34	0.27	0.31	0.3	0.31	0.33	0.46	0.29	0.38	0.57	0.75	0.35	0.28	0.39	0.4	0.42	0.36	0.395294117647059	0.142344764868826
